DATE,USD_CNY_Rate,USD_EUR_Rate
2010-01-31,6.826915789473684,1.4265736842105263
2010-02-28,6.8284631578947375,1.3679947368421053
2010-03-31,6.826182608695651,1.357004347826087
2010-04-30,6.825550000000001,1.3416818181818182
2010-05-31,6.827450000000001,1.256315
2010-06-30,6.818440909090909,1.2223363636363638
2010-07-31,6.776233333333334,1.281057142857143
2010-08-31,6.787286363636364,1.2902909090909092
2010-09-30,6.739647619047619,1.3102857142857143
2010-10-31,6.667789999999999,1.390095
2010-11-30,6.65381,1.3654249999999999
2010-12-31,6.649685714285714,1.3221333333333334
2011-01-31,6.596415,1.337065
2011-02-28,6.576126315789473,1.3655894736842107
2011-03-31,6.564460869565217,1.4019826086956524
2011-04-30,6.526685714285714,1.4459761904761905
2011-05-31,6.495680952380953,1.433452380952381
2011-06-30,6.47455,1.4402863636363636
2011-07-31,6.457535,1.4275
2011-08-31,6.403604347826088,1.4333173913043478
2011-09-30,6.388457142857143,1.3746714285714285
2011-10-31,6.370955,1.373245
2011-11-30,6.3564099999999994,1.35576
2011-12-31,6.3482095238095235,1.3154571428571429
2012-01-31,6.31717,1.290985
2012-02-29,6.29969,1.323835
2012-03-31,6.312481818181817,1.32075
2012-04-30,6.304328571428571,1.3160190476190476
2012-05-31,6.3242045454545455,1.2806454545454544
2012-06-30,6.363257142857143,1.2541333333333333
2012-07-31,6.371742857142857,1.2277619047619048
2012-08-31,6.359278260869565,1.2406217391304348
2012-09-30,6.32,1.2884578947368421
2012-10-31,6.262731818181819,1.2973818181818182
2012-11-30,6.23375,1.28374
2012-12-31,6.232815,1.3119450000000001
2013-01-31,6.221519047619048,1.3303904761904763
2013-02-28,6.232268421052631,1.3346736842105262
2013-03-31,6.215438095238095,1.2953142857142856
2013-04-30,6.186109090909091,1.302518181818182
2013-05-31,6.141631818181819,1.2983136363636363
2013-06-30,6.13415,1.319715
2013-07-31,6.13425,1.3087863636363635
2013-08-31,6.121263636363636,1.3313545454545455
2013-09-30,6.119815,1.3364150000000001
2013-10-31,6.103213636363637,1.3645909090909092
2013-11-30,6.092931578947368,1.3490842105263159
2013-12-31,6.0738,1.3708
2014-01-31,6.050938095238095,1.361795238095238
2014-02-28,6.0816,1.366521052631579
2014-03-31,6.172876190476191,1.3828190476190476
2014-04-30,6.224613636363636,1.381018181818182
2014-05-31,6.237957142857143,1.3738523809523808
2014-06-30,6.230604761904762,1.3594857142857142
2014-07-31,6.198436363636364,1.3533363636363636
2014-08-31,6.15412857142857,1.3315238095238096
2014-09-30,6.138228571428571,1.2889095238095238
2014-10-31,6.125050000000001,1.2677318181818182
2014-11-30,6.124894444444444,1.24725
2014-12-31,6.188628571428571,1.2329190476190477
2015-01-31,6.218135,1.1614900000000001
2015-02-28,6.2518473684210525,1.1350263157894738
2015-03-31,6.238604545454546,1.0819454545454545
2015-04-30,6.200995454545454,1.0822045454545455
2015-05-31,6.20345,1.116735
2015-06-30,6.2052,1.122559090909091
2015-07-31,6.20845,1.099740909090909
2015-08-31,6.3382523809523805,1.1136142857142857
2015-09-30,6.3676047619047615,1.1228523809523812
2015-10-31,6.3505,1.1227952380952382
